seed,width,batches,policy,capacity_records,events,max_live_records,queries,correct,all_correct,anchor_correct,peak_records,peak_serialized_payload_bytes,checkpoints
2,4,4,release_on_retire,8,68,4,13,13,True,True,4,131,20
2,4,16,lru_value_records,3,180,4,49,47,False,False,3,102,0
2,4,16,release_on_retire,3,180,4,49,47,False,False,3,102,0
2,4,16,lru_value_records,4,180,4,49,48,False,False,4,136,0
2,4,16,release_on_retire,4,180,4,49,49,True,True,4,133,0
2,4,16,lru_value_records,8,180,4,49,48,False,False,8,270,0
2,4,16,release_on_retire,8,180,4,49,49,True,True,4,133,0
2,4,16,lru_value_records,3,196,4,49,47,False,False,3,102,16
2,4,16,release_on_retire,3,196,4,49,47,False,False,3,102,16
2,4,16,lru_value_records,4,196,4,49,48,False,False,4,136,16
2,4,16,release_on_retire,4,196,4,49,49,True,True,4,133,16
2,4,16,lru_value_records,8,196,4,49,48,False,False,8,270,16
2,4,16,release_on_retire,8,196,4,49,49,True,True,4,133,16
